avg_multiple,effective fed funds rate,10yr,30yr
8.82,0.12,1.959,2.636
7.89826087,0.13,2.299,3.038
8.056666667,0.12,2.089,2.907
6.756153846,0.34,1.994,2.792
7.518888889,0.37,1.799,2.625
7.812666667,0.39,1.503,2.229
7.114666667,0.4,1.777,2.537
7.707741935,0.65,2.448,3.042
8.237096774,0.9,2.3,2.949
8.654848485,1.15,2.303,2.879
8.637428571,1.15,2.354,2.867
9.7,1.41,2.678,2.946
10.56432432,1.69,2.896,3.09
11.59684211,1.91,2.891,3.021
10.17820513,2.19,3.163,3.371
11.91840909,2.4,2.734,3.057
13.40418605,2.42,2.539,2.945
12.77888889,2.4,2.024,2.552
12.07826087,1.83,1.749,2.233
12.27166667,1.55,1.71,2.174
15.93396226,0.05,0.648,1.26
19.72018868,0.09,0.601,1.274